Loc	XOR	
00000000000000000000000000000010100000000000	111100101010	
00000000000000000000000000000100100000000000	011001010100	
00000000000000000000000000001000100000000000	011100111101	
00000000000000000000000000010000100000000000	010111101111	
00000000000000000000000000100000100000000000	000001001011	
00000000000000000000000001000000100000000000	101100000011	
00000000000000000000000010000000100000000000	111000000110	
00000000000000000000000100000000100000000000	010000001100	
00000000000000000000001000000000100000000000	001110001101	
00000000000000000000010000000000100000000000	110010001111	
00000000000000000000100000000000100000000000	000100011110	
00000000000000000001000000000000100000000000	100110101001	
00000000000000000010000000000000100000000000	101101010010	
00000000000000000100000000000000100000000000	111010100100	
00000000000000001000000000000000100000000000	010101001000	
00000000000000010000000000000000100000000000	000100000101	
00000000000000100000000000000000100000000000	100110011111	
00000000000001000000000000000000100000000000	101100111110	
00000000000010000000000000000000100000000000	111001111100	
00000000000100000000000000000000100000000000	010011111000	
00000000001000000000000000000000100000000000	001001100101	
00000000010000000000000000000000100000000000	111101011111	
00000000100000000000000000000000100000000000	011010111110	
00000001000000000000000000000000100000000000	011011101001	
00000010000000000000000000000000100000000000	011001000111	
00000100000000000000000000000000100000000000	011100011011	
00001000000000000000000000000000100000000000	010110100011	
00010000000000000000000000000000100000000000	000011010011	
00100000000000000000000000000000100000000000	101000110011	
01000000000000000000000000000000100000000000	110001100110	
10000000000000000000000000000000100000000000	000011001100	
00000000000000000000000000000011000000000000	010010111111	
00000000000000000000000000000101000000000000	110111000001	
00000000000000000000000000001001000000000000	110010101000	
00000000000000000000000000010001000000000000	111001111010	
00000000000000000000000000100001000000000000	101111011110	
00000000000000000000000001000001000000000000	000010010110	
00000000000000000000000010000001000000000000	010110010011	
00000000000000000000000100000001000000000000	111110011001	
00000000000000000000001000000001000000000000	100000011000	
00000000000000000000010000000001000000000000	011100011010	
00000000000000000000100000000001000000000000	101010001011	
00000000000000000001000000000001000000000000	001000111100	
00000000000000000010000000000001000000000000	000011000111	
00000000000000000100000000000001000000000000	010100110001	
00000000000000001000000000000001000000000000	111011011101	
00000000000000010000000000000001000000000000	101010010000	
00000000000000100000000000000001000000000000	001000001010	
00000000000001000000000000000001000000000000	000010101011	
00000000000010000000000000000001000000000000	010111101001	
00000000000100000000000000000001000000000000	111101101101	
00000000001000000000000000000001000000000000	100111110000	
00000000010000000000000000000001000000000000	010011001010	
00000000100000000000000000000001000000000000	110100101011	
00000001000000000000000000000001000000000000	110101111100	
00000010000000000000000000000001000000000000	110111010010	
00000100000000000000000000000001000000000000	110010001110	
00001000000000000000000000000001000000000000	111000110110	
00010000000000000000000000000001000000000000	101101000110	
00100000000000000000000000000001000000000000	000110100110	
01000000000000000000000000000001000000000000	011111110011	
10000000000000000000000000000001000000000000	101101011001	
00000000000000000000000000000110000000000000	100101111110	
00000000000000000000000000001010000000000000	100000010111	
00000000000000000000000000010010000000000000	101011000101	
00000000000000000000000000100010000000000000	111101100001	
00000000000000000000000001000010000000000000	010000101001	
00000000000000000000000010000010000000000000	000100101100	
00000000000000000000000100000010000000000000	101100100110	
00000000000000000000001000000010000000000000	110010100111	
00000000000000000000010000000010000000000000	001110100101	
00000000000000000000100000000010000000000000	111000110100	
00000000000000000001000000000010000000000000	011010000011	
00000000000000000010000000000010000000000000	010001111000	
00000000000000000100000000000010000000000000	000110001110	
00000000000000001000000000000010000000000000	101001100010	
00000000000000010000000000000010000000000000	111000101111	
00000000000000100000000000000010000000000000	011010110101	
00000000000001000000000000000010000000000000	010000010100	
00000000000010000000000000000010000000000000	000101010110	
00000000000100000000000000000010000000000000	101111010010	
00000000001000000000000000000010000000000000	110101001111	
00000000010000000000000000000010000000000000	000001110101	
00000000100000000000000000000010000000000000	100110010100	
00000001000000000000000000000010000000000000	100111000011	
00000010000000000000000000000010000000000000	100101101101	
00000100000000000000000000000010000000000000	100000110001	
00001000000000000000000000000010000000000000	101010001001	
00010000000000000000000000000010000000000000	111111111001	
00100000000000000000000000000010000000000000	010100011001	
01000000000000000000000000000010000000000000	001101001100	
10000000000000000000000000000010000000000000	111111100110	
00000000000000000000000000001100000000000000	000101101001	
00000000000000000000000000010100000000000000	001110111011	
00000000000000000000000000100100000000000000	011000011111	
00000000000000000000000001000100000000000000	110101010111	
00000000000000000000000010000100000000000000	100001010010	
00000000000000000000000100000100000000000000	001001011000	
00000000000000000000001000000100000000000000	010111011001	
00000000000000000000010000000100000000000000	101011011011	
00000000000000000000100000000100000000000000	011101001010	
00000000000000000001000000000100000000000000	111111111101	
00000000000000000010000000000100000000000000	110100000110	
00000000000000000100000000000100000000000000	100011110000	
00000000000000001000000000000100000000000000	001100011100	
00000000000000010000000000000100000000000000	011101010001	
00000000000000100000000000000100000000000000	111111001011	
00000000000001000000000000000100000000000000	110101101010	
00000000000010000000000000000100000000000000	100000101000	
00000000000100000000000000000100000000000000	001010101100	
00000000001000000000000000000100000000000000	010000110001	
00000000010000000000000000000100000000000000	100100001011	
00000000100000000000000000000100000000000000	000011101010	
00000001000000000000000000000100000000000000	000010111101	
00000010000000000000000000000100000000000000	000000010011	
00000100000000000000000000000100000000000000	000101001111	
00001000000000000000000000000100000000000000	001111110111	
00010000000000000000000000000100000000000000	011010000111	
00100000000000000000000000000100000000000000	110001100111	
01000000000000000000000000000100000000000000	101000110010	
10000000000000000000000000000100000000000000	011010011000	
00000000000000000000000000011000000000000000	001011010010	
00000000000000000000000000101000000000000000	011101110110	
00000000000000000000000001001000000000000000	110000111110	
00000000000000000000000010001000000000000000	100100111011	
00000000000000000000000100001000000000000000	001100110001	
00000000000000000000001000001000000000000000	010010110000	
00000000000000000000010000001000000000000000	101110110010	
00000000000000000000100000001000000000000000	011000100011	
